Date,Open,High,Low,Close,Adj Close,Volume
2000-06-05,11141.500000,11183.500000,10993.000000,11004.200195,11004.189453,0
2000-06-06,11004.200195,11047.700195,10751.099609,10782.500000,10782.489258,0
2000-06-07,10768.599609,10768.599609,10520.299805,10688.900391,10688.889648,0
2000-06-08,10738.599609,10954.900391,10738.599609,10799.599609,10799.588867,0
2000-06-09,10799.599609,11001.200195,10783.299805,10873.200195,10873.189453,0
2000-06-12,10873.200195,10961.299805,10766.200195,10791.299805,10791.289063,0
2000-06-13,10791.299805,10946.900391,10690.900391,10806.000000,10805.989258,0
2000-06-14,10806.000000,10965.799805,10798.500000,10880.700195,10880.689453,0
2000-06-15,10880.700195,10950.000000,10837.400391,10876.000000,10875.989258,0
2000-06-16,10876.000000,10918.799805,10663.599609,10723.799805,10723.789063,0
2000-06-19,10723.799805,10754.599609,10564.799805,10595.599609,10595.588867,0
2000-06-20,10595.599609,10688.500000,10563.400391,10563.400391,10563.389648,0
2000-06-21,10530.500000,10530.500000,10351.400391,10351.400391,10351.389648,0
2000-06-22,10413.099609,10566.200195,10413.099609,10490.500000,10490.489258,0
2000-06-23,10490.500000,10631.599609,10415.799805,10533.099609,10533.088867,0
2000-06-26,10533.099609,10603.299805,10467.200195,10488.900391,10488.889648,0
2000-06-27,10488.900391,10588.299805,10449.599609,10528.200195,10528.189453,0
2000-06-28,10528.200195,10615.500000,10505.900391,10583.200195,10583.189453,0
2000-06-29,10583.200195,10624.000000,10366.400391,10366.400391,10366.389648,0
2000-06-30,10387.599609,10605.299805,10387.599609,10581.299805,10581.289063,0
2000-07-03,10581.299805,10697.000000,10454.200195,10676.700195,10676.689453,0
2000-07-04,10676.700195,10892.200195,10661.500000,10848.900391,10848.889648,0
2000-07-05,10848.900391,10962.700195,10733.599609,10757.599609,10757.588867,0
2000-07-06,10757.599609,10845.000000,10685.099609,10739.599609,10739.588867,0
2000-07-07,10747.299805,10896.700195,10747.299805,10896.700195,10896.689453,0
2000-07-10,10896.700195,10920.700195,10807.700195,10828.900391,10828.889648,0
2000-07-11,10828.900391,10902.299805,10749.099609,10874.799805,10874.789063,0
2000-07-12,10874.799805,11015.700195,10831.000000,10878.700195,10878.689453,0
2000-07-13,10878.700195,10974.799805,10783.000000,10848.200195,10848.189453,0
2000-07-14,10848.200195,11002.599609,10772.799805,11002.599609,11002.588867,0
2000-07-17,11002.599609,11063.900391,10892.500000,10949.200195,10949.189453,0
2000-07-18,10949.200195,10977.000000,10775.400391,10791.500000,10791.489258,0
2000-07-19,10791.500000,10924.400391,10747.099609,10850.700195,10850.689453,0
2000-07-20,10850.700195,10997.799805,10801.200195,10986.099609,10986.088867,0
2000-07-21,10986.099609,11039.500000,10845.000000,10879.599609,10879.588867,0
2000-07-24,10879.599609,10924.400391,10812.500000,10831.500000,10831.489258,5545600
2000-07-25,10831.500000,10842.200195,10703.400391,10714.599609,10714.588867,7368000
2000-07-26,10722.599609,10840.200195,10722.599609,10743.799805,10743.789063,6643800
2000-07-27,10743.799805,10856.599609,10713.400391,10726.000000,10725.989258,6989400
2000-07-28,10726.000000,10735.000000,10526.799805,10560.000000,10559.989258,6670000
2000-07-31,10560.000000,10584.700195,10375.000000,10531.599609,10531.588867,7334200
2000-08-01,10531.599609,10591.299805,10481.099609,10549.000000,10548.989258,6354300
2000-08-02,10549.000000,10656.099609,10522.799805,10644.500000,10644.489258,7650100
2000-08-03,10644.500000,10645.700195,10453.000000,10453.000000,10452.989258,7487500
2000-08-04,10517.900391,10610.099609,10517.900391,10583.400391,10583.389648,6189300
2000-08-07,10585.900391,10711.099609,10585.900391,10707.700195,10707.689453,5904300
2000-08-08,10707.700195,10930.000000,10657.599609,10867.599609,10867.588867,7614700
2000-08-09,10872.099609,11085.000000,10872.099609,10951.900391,10951.889648,8876700
2000-08-10,10981.000000,11150.000000,10981.000000,11110.599609,11110.587891,7802500
2000-08-11,11094.599609,11094.599609,10976.000000,11094.599609,11094.587891,5232700
2000-08-14,11100.900391,11250.200195,11100.900391,11210.599609,11210.587891,4705800
2000-08-15,11210.599609,11283.400391,11163.099609,11207.900391,11207.888672,3829800
2000-08-16,11207.900391,11364.299805,11202.000000,11342.700195,11342.688477,7358600
2000-08-17,11342.700195,11350.500000,11131.500000,11155.500000,11155.488281,6743600
2000-08-18,11155.500000,11252.299805,11056.500000,11065.500000,11065.489258,10857800
