Date,Open,High,Low,Close,Adj Close,Volume
2000-06-05,7873.700195,7873.700195,7780.700195,7791.100098,7791.100098,0
2000-06-06,7771.600098,7787.200195,7709.299805,7746.600098,7746.600098,0
2000-06-07,7768.299805,7803.700195,7751.899902,7797.899902,7797.899902,0
2000-06-08,7839.299805,7868.100098,7776.399902,7809.799805,7809.799805,0
2000-06-09,7805.200195,7842.000000,7780.299805,7796.799805,7796.799805,0
2000-06-12,null,null,null,null,null,null
2000-06-13,7805.500000,7843.399902,7784.600098,7817.100098,7817.100098,0
2000-06-14,7830.600098,7888.899902,7828.299805,7888.100098,7888.100098,0
2000-06-15,7894.899902,7914.799805,7827.899902,7827.899902,7827.899902,0
2000-06-16,7851.500000,7875.200195,7826.399902,7845.600098,7845.600098,0
2000-06-19,7791.799805,7810.000000,7752.799805,7794.600098,7794.600098,0
2000-06-20,7824.299805,7827.500000,7793.000000,7796.600098,7796.600098,0
2000-06-21,7805.399902,7822.299805,7732.000000,7760.200195,7760.200195,0
2000-06-22,7771.600098,7786.299805,7663.299805,7664.399902,7664.399902,0
2000-06-23,7672.500000,7682.399902,7629.200195,7677.000000,7677.000000,0
2000-06-26,7685.399902,7699.299805,7659.700195,7686.100098,7686.100098,0
2000-06-27,7724.200195,7732.500000,7672.500000,7691.799805,7691.799805,0
2000-06-28,7700.899902,7746.299805,7700.500000,7727.799805,7727.799805,0
2000-06-29,7734.500000,7751.399902,7701.200195,7710.500000,7710.500000,0
2000-06-30,7714.500000,7792.100098,7705.500000,7761.600098,7761.600098,0
2000-07-03,7769.700195,7795.000000,7746.200195,7789.700195,7789.700195,0
2000-07-04,7796.200195,7834.799805,7788.700195,7828.700195,7828.700195,0
2000-07-05,7821.600098,7884.500000,7819.899902,7866.700195,7866.700195,0
2000-07-06,7861.200195,7927.299805,7847.799805,7911.700195,7911.700195,0
2000-07-07,7917.899902,7925.299805,7871.500000,7903.700195,7903.700195,0
2000-07-10,7926.299805,7931.899902,7874.299805,7911.100098,7911.100098,0
2000-07-11,7889.700195,7933.000000,7878.899902,7927.299805,7927.299805,0
2000-07-12,7949.000000,7967.700195,7893.100098,7895.200195,7895.200195,0
2000-07-13,7908.399902,7955.299805,7894.000000,7951.700195,7951.700195,0
2000-07-14,7948.600098,7978.000000,7889.500000,7938.899902,7938.899902,0
2000-07-17,7954.899902,7972.200195,7884.200195,7903.200195,7903.200195,0
2000-07-18,7899.100098,7943.200195,7894.399902,7896.200195,7896.200195,0
2000-07-19,7887.100098,7942.399902,7879.899902,7933.500000,7933.500000,0
2000-07-20,7923.000000,7955.500000,7913.700195,7946.700195,7946.700195,0
2000-07-21,7960.299805,7961.500000,7900.200195,7900.399902,7900.399902,0
2000-07-24,7906.899902,8010.100098,7901.899902,8009.200195,8009.200195,0
2000-07-25,8010.600098,8049.399902,8006.299805,8014.700195,8014.700195,0
2000-07-26,8009.100098,8016.200195,7975.299805,8005.399902,8005.399902,0
2000-07-27,7990.500000,8051.399902,7971.899902,7992.600098,7992.600098,0
2000-07-28,8009.600098,8026.200195,7994.600098,7997.799805,7997.799805,0
2000-07-31,8002.399902,8033.399902,7989.600098,8023.200195,8023.200195,0
2000-08-01,null,null,null,null,null,null
2000-08-02,8025.299805,8152.500000,8022.899902,8151.200195,8151.200195,0
2000-08-03,8152.899902,8164.200195,8111.700195,8137.700195,8137.700195,0
2000-08-04,8159.000000,8188.200195,8116.600098,8119.600098,8119.600098,0
2000-08-07,8154.399902,8251.000000,8153.600098,8251.000000,8251.000000,0
2000-08-08,8240.700195,8255.299805,8221.099609,8253.400391,8253.400391,0
2000-08-09,8268.799805,8316.599609,8245.700195,8245.700195,8245.700195,0
2000-08-10,8219.700195,8256.200195,8163.500000,8202.799805,8202.799805,0
2000-08-11,8192.700195,8254.700195,8184.299805,8236.200195,8236.200195,0
2000-08-14,8257.700195,8305.299805,8254.299805,8273.099609,8273.099609,0
2000-08-15,8304.200195,8307.400391,8242.500000,8250.099609,8250.099609,0
2000-08-16,8258.599609,8319.900391,8239.900391,8318.400391,8318.400391,0
2000-08-17,8291.200195,8302.700195,8244.099609,8260.799805,8260.799805,0
2000-08-18,8278.700195,8303.400391,8248.900391,8251.900391,8251.900391,0
2000-08-21,8267.299805,8301.099609,8215.299805,8289.799805,8289.799805,0
2000-08-22,8276.799805,8327.799805,8273.500000,8317.400391,8317.400391,0
2000-08-23,8344.599609,8389.700195,8339.400391,8377.000000,8377.000000,0
2000-08-24,8379.400391,8407.500000,8341.500000,8349.500000,8349.500000,0
2000-08-25,8367.500000,8373.799805,8294.500000,8311.700195,8311.700195,0
2000-08-28,8302.599609,8349.099609,8300.700195,8338.299805,8338.299805,0
2000-08-29,8336.599609,8349.900391,8247.099609,8257.299805,8257.299805,0
2000-08-30,8231.099609,8243.099609,8185.299805,8220.000000,8220.000000,0
2000-08-31,8203.400391,8233.000000,8183.899902,8219.900391,8219.900391,0
2000-09-01,8231.900391,8277.099609,8224.700195,8234.900391,8234.900391,0
